Timestamp(us),ax_mean,ax_std,ax_<lambda_0>,ay_mean,ay_std,ay_<lambda_0>,az_mean,az_std,az_<lambda_0>,gx_mean,gx_std,gx_<lambda_0>,gy_mean,gy_std,gy_<lambda_0>,gz_mean,gz_std,gz_<lambda_0>,mx_mean,mx_std,mx_<lambda_0>,my_mean,my_std,my_<lambda_0>,mz_mean,mz_std,mz_<lambda_0>,period
01-01-1970 00:58,-187.8897587,821.3652176,693.576075,139.4087911,836.2959855,674.9188786,-13515.92505,827.4559661,625.3744272,-414.203632,212.6175386,166.9668805,394.5060715,249.25043,175.0586013,642.9450216,299.3911643,247.1905132,18.17169317,26.13648454,22.44874563,203.9113661,12.10794655,9.987495483,-1494.725799,25.63933288,21.15407017,0
01-01-1970 00:58,3375.964899,1728.984209,1297.930635,1792.322647,1989.446643,1734.447774,-12411.21095,767.5223074,531.0517802,-74.54000792,448.7140149,343.6943553,65.70107444,455.5991272,330.9453173,47.53215557,440.6533591,322.1050521,-140.3076657,41.88108336,36.30554482,182.0137822,61.05368703,53.03210288,-1298.058142,64.49404869,48.62811677,0
01-01-1970 00:58,-3883.870659,4115.170904,3491.790217,2421.717967,4822.668927,4179.135982,-11231.74599,3503.245962,2730.926499,137.0450838,1028.734624,753.2462558,62.66321121,738.9725846,527.1504983,-223.6533155,1106.734086,780.6785767,165.4012481,196.1720772,185.3622565,296.5370637,103.2136991,93.95087185,-1484.77437,289.0917278,270.3934626,0
01-01-1970 00:58,-4078.526946,2370.086814,1925.677018,-860.0898191,1687.113266,1459.359523,-12561.23977,1653.312584,1248.559449,-106.6165143,457.1811907,360.2339807,213.1497994,507.9369608,368.2289709,-161.9971767,503.106833,365.026314,71.49382181,97.09448919,81.6527693,259.1338932,55.60240604,50.54005629,-1505.306996,219.293098,199.3648917,0
01-01-1970 00:58,-2386.403847,3104.06725,2737.550705,-1056.052803,1450.101045,1102.641141,-12705.47585,1152.596194,846.0746998,-34.12394289,392.8190993,292.7501384,-260.3490384,269.8906113,195.3622364,-625.0840504,296.335982,234.2913298,222.5213993,164.0715349,146.4879279,226.0003769,81.18581788,69.6714368,-1066.240049,79.94155833,66.85030222,0
01-01-1970 00:59,-8652.034168,941.5738836,752.3214137,-5454.945312,2665.830454,2117.98125,-8358.293603,1788.037693,1311.291074,-72.32611309,771.1374717,633.5850737,-197.511046,384.0985013,307.5307994,26.04239447,541.2008853,444.8873266,471.6012137,9.900705108,7.894116427,-13.81603541,47.59411445,41.49804372,-725.4833488,74.64871178,58.98531601,0
01-01-1970 00:59,-8321.905828,2756.502332,2400.472067,-2125.189226,2093.297093,1665.058318,-9903.109466,1769.852122,1410.100196,89.83752185,712.1220118,545.1058512,174.5314835,620.0280317,401.0162539,-64.15301264,537.8791096,398.7547521,435.9042402,19.22044164,16.39047884,93.34146817,36.49399085,32.54175715,-821.496472,153.1941528,135.3585288,0
01-01-1970 00:59,-6141.027992,1903.104709,1544.121732,-2769.116351,2814.596446,2167.887433,-11086.4529,1709.898018,1359.937334,-30.66161113,1315.483986,820.3009688,-180.8402515,961.6366302,645.8866719,-203.1123664,626.6889299,448.0050897,448.821401,16.22072964,13.88927704,0.71577051,51.80424775,44.31817953,-858.7415072,121.9410721,102.8522272,0
01-01-1970 00:59,-8809.928148,1501.23354,1246.86224,-6768.908541,2126.734336,1783.39316,-7396.855673,1369.894116,1024.063188,28.73069533,388.9125857,293.6989504,-23.72862468,608.5972626,459.6922905,-138.1603541,405.7374447,308.7634228,443.8442991,16.83062791,14.34204351,-123.8699127,46.1416486,41.45609624,-590.344212,50.9829412,42.26042254,0
01-01-1970 00:59,-7931.711025,694.8153689,538.0831438,-8214.931428,645.9919173,511.7216489,-7197.938055,745.7507781,599.8040348,18.17724177,381.5487358,311.4267549,47.34072857,480.9266966,382.9998109,44.06150088,367.9731604,275.6235811,459.2749797,18.00341805,15.44266551,-146.2668713,24.76123846,20.80295433,-706.3656178,59.07633899,51.76685365,0
