Timestamp(us), ax, ay, az, gx, gy, gz, mx, my, mz,period
3531778869,-596.7528549,-729.08717,-13068.63784,-391.1769063,540.9893385,211.4019877,54.09893385,187.2655403,-1512.273274,0
3531798858,-1183.518214,-565.1257859,-13344.12625,-504.3685217,374.5310805,466.0831224,54.09893385,197.2530357,-1533.080556,0
3531818847,-617.5601372,-163.1290928,-13150.20238,-477.7352005,474.4060353,726.5902962,44.11143837,202.2467835,-1512.273274,0
3531838836,-446.1081314,-144.8186845,-13077.79304,-343.7363028,481.0643656,1026.215161,44.11143837,207.2405312,-1502.285778,0
3531858825,-882.2287674,-752.3913262,-13528.89492,-217.2280267,431.1268882,1147.729689,29.13019515,217.2280267,-1533.080556,0
3531878814,-744.9007046,-546.8153775,-14454.40283,-133.1666064,514.3560172,995.4203828,4.16145645,202.2467835,-1491.465992,0
3531898803,-415.3133537,-172.284297,-15244.24727,-272.1592518,459.4247921,754.0559087,14.14895193,182.2717925,-1502.285778,0
3531918792,-778.1923562,247.1905131,-14588.40173,-566.7903685,186.433249,549.3122514,4.16145645,192.259288,-1481.478496,0
3531938781,320.4321467,416.9779363,-12894.68896,-828.1298336,-109.8624503,424.4685579,0,217.2280267,-1472.323292,0
3531958770,788.1798516,932.1662448,-12353.69962,-695.7955184,76.57079868,306.2831947,0,212.234279,-1472.323292,0
3531978759,1040.364113,1391.591037,-13052.8243,-384.518576,433.6237621,416.9779363,-4.99374774,217.2280267,-1472.323292,0
3531998748,1260.921304,1758.631496,-13433.18142,-155.6384712,871.4089806,690.8017707,-24.9687387,212.234279,-1451.51601,0
3532018737,1496.459739,1106.115124,-14113.1634,106.5332851,1287.554626,903.0360497,-34.95623418,202.2467835,-1439.863932,0
3532038726,267.1655041,-4.99374774,-13923.40099,431.9591795,1416.559776,821.4715032,-59.92497288,202.2467835,-1430.708728,0
3532058715,838.117329,-50.76976869,-12824.77649,496.0456088,1191.008836,451.1018792,-84.06142029,187.2655403,-1420.721232,0
3532078704,2752.387296,601.7466027,-12527.6485,156.4707625,835.6204552,283.8113299,-79.89996384,177.2780448,-1430.708728,0
3532098693,3334.158908,897.2100106,-12589.23805,-154.8061799,570.9518249,352.891507,-99.04266351,187.2655403,-1390.758746,0
3532118682,3284.22143,973.7808093,-11793.56758,-277.1529996,232.2092699,412.8164798,-94.04891577,177.2780448,-1369.951463,0
3532138671,2534.326978,1146.065106,-11552.20311,-228.0478135,95.71349835,438.6175098,-99.04266351,192.259288,-1390.758746,0
3532158660,1437.367058,1106.115124,-12401.97251,-64.08642933,156.4707625,544.3185037,-109.030159,153.1415974,-1379.106668,0
3532178649,1617.974268,776.5277736,-12909.6702,116.5207806,315.4383989,601.7466027,-104.0364113,167.2905493,-1369.951463,0
3532198638,7205.145698,-86.55829416,-11830.1884,166.458258,446.9404227,709.9444704,-114.0239067,153.1415974,-1379.106668,0
3532218627,5412.390259,6.65833032,-13022.86181,-9.15520419,745.7329958,835.6204552,-129.00515,167.2905493,-1359.963968,0
3532238616,-431.1268882,585.9330682,-13637.92508,361.2144199,1030.376617,615.8955546,-133.9988977,143.1541019,-1379.106668,0
3532258605,3993.333609,-194.7561619,-12768.18068,1050.351608,345.4008854,292.9665341,-148.9801409,143.1541019,-1369.951463,0
3532278594,3030.372587,-168.9551319,-12395.31418,1032.0412,-262.1717564,497.7101914,-153.9738887,133.1666064,-1390.758746,0
3532298583,3877.64512,32.45936031,-12234.68196,570.9518249,50.76976869,588.429942,-143.9863932,113.1916154,-1349.144181,0
3532318572,2388.676002,-67.41559449,-12057.40392,99.04266351,232.2092699,702.4538488,-148.9801409,108.1978677,-1380.77125,0
3532338562,3633.783772,-4904.692572,-11336.63966,188.9301228,407.8227321,473.573744,-153.9738887,103.20412,-1328.336899,0
3532358551,4534.322948,-479.399783,-14153.94568,-43.27914708,193.0915793,-655.8455365,-153.9738887,93.21662448,-1369.951463,0
3532378540,4803.985326,-689.1371881,-12550.12036,-319.5998554,240.5321828,-24.13644741,-158.9676364,98.21037222,-1379.106668,0
3532398529,4774.022839,-1895.959559,-11111.92101,97.37808093,227.2155222,426.9654318,-158.9676364,103.20412,-1349.144181,0
3532418518,3910.936772,-1500.621196,-10936.30755,606.7403504,176.4457535,311.2769425,-163.1290928,88.22287674,-1359.963968,0
3532438507,2640.860263,-1188.511962,-13104.42636,826.465251,523.5112214,309.6123599,-173.1165883,83.229129,-1339.156686,0
3532458496,2656.673798,-1100.289085,-13434.01371,813.1485903,497.7101914,319.5998554,-173.1165883,79.06767255,-1358.299385,0
3532478485,2978.770527,-1400.746241,-12775.6713,333.7488073,-129.8374412,403.6612757,-178.1103361,64.08642933,-1379.106668,0
3532498474,3758.627466,-1041.196404,-13463.14391,-412.8164798,-259.6748825,424.4685579,-168.1228406,59.09268159,-1390.758746,0
3532518463,2560.960299,-1415.727484,-13576.33552,-898.8745932,525.175804,406.1581495,-168.1228406,79.06767255,-1339.156686,0
3532538452,2813.14456,-644.1934585,-12572.59223,-720.7642571,1076.152638,242.1967654,-178.1103361,69.08017707,-1349.144181,0
3532558441,5012.89044,193.9238706,-12122.32264,-561.7966208,1081.978677,312.941525,-193.0915793,79.06767255,-1297.542121,0
3532578430,4957.959215,-983.7683048,-13026.19098,-851.4339897,507.6976869,622.5538849,-198.085327,83.229129,-1339.156686,0
3532598419,3936.737802,-1753.637748,-13248.41275,-1128.586989,271.3269605,746.5652871,-213.0665702,79.06767255,-1276.734839,0
3532618408,4726.582236,-1750.308583,-12625.02658,-1057.009938,349.5623418,664.1684494,-208.0728225,74.07392481,-1276.734839,0
3532638397,5168.528911,-1304.200451,-12446.91624,-537.6601733,446.9404227,87.39058545,-198.085327,74.07392481,-1236.784857,0
3532658386,5577.183934,-456.0956269,-11328.31675,-924.6756232,548.4799601,-392.8414889,-213.0665702,93.21662448,-1236.784857,0
3532678375,5256.751788,2804.821647,-9223.452076,-208.0728225,500.2070653,-228.0478135,-203.0790748,93.21662448,-1236.784857,0
3532698364,5931.740024,610.0695156,-11774.42488,448.6050053,-263.8363389,-890.5516803,-218.060318,103.20412,-1215.977575,0
3532718353,6303.77423,259.6748825,-11176.83973,51.60205998,-373.6987892,-1057.84223,-223.0540657,118.1853632,-1225.96507,0
3532738342,8149.796312,-1.66458258,-12333.72463,-412.8164798,-79.89996384,-516.8528911,-208.0728225,113.1916154,-1236.784857,0
3532758331,3970.861745,-356.2206721,-12244.66946,-430.2945969,-109.030159,267.9977954,-213.0665702,118.1853632,-1257.592139,0
3532778320,4095.705438,281.314456,-11024.53043,-336.2456812,-69.91246836,79.06767255,-213.0665702,123.1791109,-1236.784857,0
3532798309,4116.51272,1473.987875,-9980.83715,-591.7591072,204.7436573,-243.861348,-203.0790748,103.20412,-1246.772352,0
3532818298,2656.673798,2052.430321,-11955.03209,-1300.871286,491.8841524,-987.0974699,-213.0665702,133.1666064,-1215.977575,0
3532838287,8849.753287,1466.497253,-12693.27446,-1276.734839,282.1467473,-1797.749186,-188.0978315,158.1353451,-1174.36301,0
3532858276,10311.25679,1690.38361,-12077.37891,-889.719389,435.2883447,-823.1360858,-193.0915793,172.284297,-1153.555728,0
3532878265,5191.833067,2563.457173,-13024.5264,-510.1945608,517.6851824,50.76976869,-203.0790748,172.284297,-1144.400524,0
3532898254,6443.599167,2766.536248,-11235.93242,-238.8676002,-110.6947416,-212.234279,-193.0915793,192.259288,-1144.400524,0
3532918243,5897.616081,2337.906234,-11814.37486,-358.717546,-431.9591795,-183.1040838,-198.085327,197.2530357,-1165.207806,0
3532938232,5399.073598,2676.648789,-12647.49844,-281.314456,-460.2570834,-183.1040838,-203.0790748,192.259288,-1165.207806,0
3532958221,5114.429977,2757.381044,-12501.01518,37.45310805,-649.1872062,-149.8124322,-188.0978315,207.2405312,-1165.207806,0
3532978210,4056.587747,2496.041579,-12082.37266,347.8977592,-910.5266713,-50.76976869,-188.0978315,197.2530357,-1195.170292,0
3532998199,3563.039012,2345.396855,-11819.36861,533.4987169,-1052.848482,-226.3832309,-173.1165883,207.2405312,-1225.96507,0
3533018188,4341.231369,2902.199728,-11062.81583,479.399783,-1067.829725,-448.6050053,-163.1290928,192.259288,-1236.784857,0
3533038177,4655.837476,3087.800686,-11251.74595,211.4019877,-689.9694794,-488.5549872,-148.9801409,187.2655403,-1236.784857,0
3533058166,4371.193855,3421.549493,-12632.5172,92.38433319,-141.4895193,-372.8664979,-153.9738887,217.2280267,-1257.592139,0
3533078155,3634.616063,3041.192374,-12672.46718,128.1728587,-181.4395012,-267.9977954,-158.9676364,197.2530357,-1267.579635,0
3533098144,3871.819081,2293.794795,-12570.92764,44.94372966,-267.9977954,-365.3758763,-153.9738887,197.2530357,-1267.579635,0
3533118133,3906.775315,1845.18979,-13264.22629,-84.89371158,-258.0102999,-451.9341705,-133.9988977,197.2530357,-1288.386917,0
3533138122,3414.891163,2533.494687,-13353.28146,-156.4707625,-412.8164798,-484.3935308,-129.00515,217.2280267,-1288.386917,0
3533158111,3143.564202,3455.673436,-12090.69557,-32.45936031,-651.6840801,-443.6112576,-119.0176545,232.2092699,-1267.579635,0
3533178100,2463.582218,3994.165901,-11409.88129,-138.1603541,-595.0882724,-380.3571195,-114.0239067,217.2280267,-1297.542121,0
3533198089,2664.164419,3909.272189,-12048.24871,-440.2820924,-233.0415612,-437.7852185,-114.0239067,237.2030177,-1297.542121,0
3533218078,3313.351625,3393.251589,-12488.53081,-575.1132814,71.57705094,-334.5810986,-114.0239067,227.2155222,-1276.734839,0
3533238067,3313.351625,3393.251589,-12488.53081,-496.0456088,-37.45310805,-17.47811709,-119.0176545,261.3394651,-1297.542121,0
3533258056,3468.990097,2849.765377,-12699.1005,-496.0456088,-37.45310805,-17.47811709,-119.0176545,256.3457173,-1288.386917,0
3533278045,3543.896313,3346.643277,-12892.19208,-378.692537,-532.6664256,381.1894108,-119.0176545,256.3457173,-1288.386917,0
3533298034,3541.399439,4215.555384,-13025.35869,-250.5196783,-610.0695156,545.9830862,-114.0239067,237.2030177,-1307.529617,0
3533318023,2709.108149,4163.121033,-12575.92139,-194.7561619,-455.2633356,266.3332128,-104.0364113,232.2092699,-1288.386917,0
3533338012,1439.863932,2773.194578,-11973.3425,-298.7925731,-258.0102999,429.4623056,-104.0364113,237.2030177,-1297.542121,0
3533358001,1703.700271,3143.564202,-12459.40061,-441.1143837,-163.9613841,461.0893747,-99.04266351,237.2030177,-1297.542121,0
3533377990,2083.225099,4415.305293,-13412.37414,-307.9477773,-29.96248644,214.7311528,-114.0239067,251.3519696,-1267.579635,0
3533397979,2300.453126,4469.404227,-12580.91514,-269.662378,38.28539934,143.1541019,-104.0364113,237.2030177,-1257.592139,0
3533417968,2511.855113,4116.51272,-12357.86107,-221.3894831,216.3957354,138.1603541,-124.0114022,256.3457173,-1288.386917,0
3533437957,2589.258203,3853.508673,-12549.28807,-52.43435127,235.5384351,95.71349835,-119.0176545,246.3582218,-1276.734839,0
3533457946,2861.417455,3946.725297,-12263.81216,-4.16145645,110.6947416,12.48436935,-119.0176545,246.3582218,-1278.399421,0
3533477935,2733.244596,4074.898156,-12198.06115,-16.6458258,33.2916516,18.31040838,-124.0114022,246.3582218,-1288.386917,0
3533497924,2631.705059,4133.158546,-12351.20274,10.81978677,-53.26664256,10.81978677,-114.0239067,232.2092699,-1267.579635,0
3533517913,2540.153017,4024.128387,-12243.00488,104.0364113,-100.7072461,-24.9687387,-119.0176545,237.2030177,-1255.927557,0
3533537902,2388.676002,3852.676381,-12386.15898,188.0978315,-90.71975061,-77.40308997,-104.0364113,241.3644741,-1297.542121,0
3533557891,2438.61348,3800.24203,-12505.17663,271.3269605,-129.00515,-106.5332851,-104.0364113,237.2030177,-1288.386917,0
3533577880,2290.46563,3709.52228,-12646.66615,292.9665341,-139.8249367,-94.04891577,-109.030159,237.2030177,-1276.734839,0
3533597869,2315.434369,3730.329562,-12463.56207,278.8175822,-110.6947416,-61.58955546,-109.030159,232.2092699,-1307.529617,0
3533617858,2226.379201,3796.912865,-12493.52455,198.085327,-63.25413804,13.31666064,-109.030159,241.3644741,-1297.542121,0
3533637847,2301.285417,3799.409739,-12717.41091,136.4957716,-70.74475965,66.5833032,-99.04266351,237.2030177,-1276.734839,0
3533657836,2127.336537,3598.827538,-12546.7912,138.9926454,-95.71349835,58.2603903,-114.0239067,241.3644741,-1309.194199,0
3533677825,2348.72602,3362.456812,-12477.71102,129.8374412,-49.10518611,-26.63332128,-89.05516803,232.2092699,-1288.386917,0
3533697814,2346.229147,3606.31816,-12514.33184,158.1353451,-80.73225513,-7.49062161,-109.030159,232.2092699,-1330.001481,0
3533717803,2211.397958,3804.403487,-12615.87137,129.00515,-50.76976869,9.15520419,-109.030159,227.2155222,-1297.542121,0
3533737792,1925.089754,3278.395391,-12505.17663,99.04266351,34.12394289,-19.14269967,-109.030159,251.3519696,-1297.542121,0
3533757781,1872.655403,3370.779725,-12595.06409,104.0364113,95.71349835,49.10518611,-114.0239067,227.2155222,-1339.156686,0
3533777770,2089.051138,3538.902565,-12749.87027,60.75726417,72.40934223,62.42184675,-89.05516803,237.2030177,-1309.194199,0
3533797760,2303.782291,3369.115142,-12386.15898,1.66458258,30.79477773,20.80728225,-119.0176545,232.2092699,-1309.194199,0
3533817749,2544.314474,3373.276598,-12337.05379,-14.98124322,59.92497288,-17.47811709,-109.030159,227.2155222,-1309.194199,0
3533837738,2094.877177,3141.89962,-12709.92029,86.55829416,80.73225513,-61.58955546,-119.0176545,222.2217744,-1309.194199,0
3533857727,2205.571919,3022.881965,-12705.75883,215.5634441,40.78227321,-99.8749548,-114.0239067,237.2030177,-1288.386917,0
3533877716,2902.199728,3201.824593,-12545.12661,229.712396,-24.9687387,-59.09268159,-119.0176545,246.3582218,-1299.206704,0
3533897705,2378.688507,2881.392446,-12624.19429,147.3155583,-25.80102999,46.60831224,-109.030159,237.2030177,-1318.349403,0
3533917694,2151.472985,2783.182074,-12777.33588,124.0114022,-64.08642933,70.74475965,-104.0364113,227.2155222,-1318.349403,0
3533937683,2049.933447,2831.454969,-12707.42342,96.54578964,-76.57079868,72.40934223,-89.05516803,232.2092699,-1297.542121,0
3533957672,2112.355294,2742.399801,-12785.6588,67.41559449,-49.9374774,69.91246836,-119.0176545,237.2030177,-1309.194199,0
3533977661,342.0717202,-1213.480701,-11692.02804,-111.5270329,-26.63332128,-69.91246836,-109.030159,212.234279,-1330.001481,0
3533997650,1083.64326,2483.557209,-13713.66359,-545.150795,81.56454642,154.8061799,-124.0114022,212.234279,-1330.001481,0
3534017639,2875.566407,2983.764275,-13010.37745,121.5145283,-225.5509396,419.4748102,-133.9988977,207.2405312,-1278.399421,0
3534037628,3597.995247,3769.447252,-12651.6599,152.3093061,-267.9977954,382.0217021,-138.9926454,212.234279,-1276.734839,0
3534057617,3499.784874,4432.783411,-12387.82356,50.76976869,-122.3468196,89.88745932,-138.9926454,207.2405312,-1276.734839,0
3534077606,2877.23099,3694.541036,-13020.36494,7.49062161,-93.21662448,-205.5759486,-129.00515,202.2467835,-1330.001481,0
3534097595,2330.415612,3460.667184,-13355.77833,-55.76351643,-110.6947416,-258.8425912,-133.9988977,202.2467835,-1297.542121,0
3534117584,4113.183555,4990.418575,-13965.84785,-54.93122514,-468.5799963,-283.8113299,-119.0176545,212.234279,-1297.542121,0
3534137573,4708.271828,3179.352728,-11761.10822,86.55829416,-844.7756594,-504.3685217,-124.0114022,217.2280267,-1286.722334,0
3534157562,2494.376996,2243.857318,-13182.66174,175.6134622,-792.3413081,-651.6840801,-129.00515,212.234279,-1339.156686,0
3534177551,2464.41451,2374.52705,-13872.63122,196.4207444,-726.5902962,-604.2434765,-94.04891577,202.2467835,-1328.336899,0
3534197540,2306.279165,2297.956252,-14823.94017,-16.6458258,-1055.345356,-444.4435489,-104.0364113,237.2030177,-1359.963968,0
3534217529,2181.435471,1271.741091,-13622.94383,-615.0632633,-1588.844073,277.9852909,-79.89996384,237.2030177,-1349.144181,0
3534237518,2059.920943,1632.12322,-13458.15016,-1255.927557,-1692.880484,1008.737043,-74.9062161,241.3644741,-1358.299385,0
3534257507,787.3475603,3110.272551,-14480.20386,-2041.610534,-1607.154481,951.3089445,-74.9062161,251.3519696,-1359.963968,0
3534277496,-829.7944161,5596.326634,-13934.22078,-2709.94044,-1910.108511,1179.356758,-59.92497288,266.3332128,-1379.106668,0
3534297485,-1950.058492,6820.627122,-12633.34949,-1900.953306,-1858.506451,382.0217021,-54.93122514,276.3207083,-1328.336899,0
3534317474,-351.2269244,4255.505366,-11834.34985,-1570.533664,-495.2133176,-312.1092338,-44.94372966,296.2956992,-1328.336899,0
3534337463,1008.737043,6300.445065,-13800.22188,-2474.402005,-363.7112937,16.6458258,-39.94998192,316.2706902,-1288.386917,0
3534357452,-888.8870977,9096.9438,-14546.78717,-2248.851066,-782.3538126,30.79477773,-29.96248644,320.4321467,-1288.386917,0
3534377441,-1224.300488,8741.555419,-13538.05012,-2123.175081,-710.7767617,-230.5446873,-34.95623418,350.3946331,-1257.592139,0
3534397430,241.3644741,9294.196835,-12483.53706,-1977.524105,-254.6811347,-376.1956631,-14.98124322,350.3946331,-1206.822371,0
