Timestamp(us),ax_mean,ax_std,ax_<lambda_0>,ay_mean,ay_std,ay_<lambda_0>,az_mean,az_std,az_<lambda_0>,gx_mean,gx_std,gx_<lambda_0>,gy_mean,gy_std,gy_<lambda_0>,gz_mean,gz_std,gz_<lambda_0>,mx_mean,mx_std,mx_<lambda_0>,my_mean,my_std,my_<lambda_0>,mz_mean,mz_std,mz_<lambda_0>,AccMag,period
1970-01-01 00:58:50,-187.889758675,821.3652176290503,693.576075,139.40879110833333,836.29598550256,674.9188786097221,-13515.925046666664,827.4559661139901,625.3744272222231,-414.2036319916666,212.61753858252652,166.96688045694444,394.5060714566666,249.2504300403835,175.05860132444445,642.9450215666667,299.39116428230074,247.1905131666667,18.171693165,26.13648454187388,22.4487456275,203.91136606666663,12.10794655487978,9.987495483333328,-1494.7257991666663,25.63933287903366,21.154070166666617,13565.08241,0
1970-01-01 00:58:52,3375.964899241,1728.9842094036424,1297.93063465756,1792.3226471987,1989.4466426108293,1734.4477742295085,-12411.21094566,767.5223074054971,531.0517802079999,-74.5400079229,448.7140148713928,343.6943552843639,65.70107443799999,455.59912718594296,330.9453173197199,47.5321555722,440.653359147648,322.1050521446,-140.3076656749,41.88108335566611,36.305544815586,182.0137822201,61.05368703473183,53.03210287747799,-1298.05814176,64.4940486923662,48.628116766400005,13248.5304,0
1970-01-01 00:58:54,-3883.870658854,4115.170903584767,3491.7902171781207,2421.7179666033,4822.668927399554,4179.1359816528975,-11231.74598985,3503.2459620346644,2730.926498574001,137.045083824,1028.7346243366096,753.2462557660803,62.66321121200001,738.9725846406128,527.15049833188,-223.65331545,1106.7340858596497,780.6785766990001,165.4012480619,196.17207716428376,185.362256532196,296.537063724,103.21369906423594,93.95087185232002,-1484.7743698299998,289.09172784445843,270.39346264320005,13878.94399,0
1970-01-01 00:58:56,-4078.5269458867,2370.0868143963344,1925.6770184978325,-860.0898190988,1687.1132657487794,1459.359522891368,-12561.23977388,1653.3125840368327,1248.5594487976002,-106.6165142575,457.1811906637083,360.2339807136501,213.1497993696,507.9369607785114,368.22897085396806,-161.9971766837,503.1068329536199,365.0263139702999,71.4938218122,97.09448918753456,81.65276929834798,259.133893153,55.60240603702135,50.54005629111999,-1505.30699586,219.2930979740524,199.3648917028,13529.45082,0
1970-01-01 00:58:58,-2386.4038470806,3104.067249879452,2737.5507050145643,-1056.052803307,1450.1010447130802,1102.6411405621202,-12705.47585443,1152.596194312522,846.0746998383999,-34.123942891400006,392.8190993184262,292.7501383536561,-260.3490384332,269.89061129484537,195.362236386104,-625.084050443,296.33598199888246,234.2913298007201,222.5213993015,164.07153494036788,146.48792787644004,226.0003768886,81.18581787519157,69.671436796136,-1066.240048728,79.94155833236624,66.85030221935997,13430.57541,0
1970-01-01 00:59:00,-8652.0341678,941.5738835600704,752.3214137399998,-5454.945312496,2665.830453632503,2117.98125020432,-8358.29360275,1788.0376930664358,1311.2910738649998,-72.32611309179998,771.1374716591276,633.585073680708,-197.5110460271,384.0985013452384,307.53079936019,26.0423944724,541.200885330653,444.887326588192,471.601213657,9.90070510757113,7.894116426719997,-13.816035414,47.59411444980619,41.4980437194,-725.4833487589999,74.64871177547846,58.98531600869994,13566.37967,0
1970-01-01 00:59:02,-8321.90582753,2756.5023315926665,2400.472066751,-2125.1892257271,2093.297092597039,1665.0583176383582,-9903.10946603,1769.852122331895,1410.1001963124002,89.83752184519999,712.12201181289,545.10585122548,174.5314835146,620.0280316677613,401.016253935196,-64.15301263639999,537.8791096175806,398.754752056984,435.904240228,19.22044164161839,16.390478835040017,93.3414681733,36.49399085170973,32.541757147498,-821.4964720019999,153.19415280838706,135.35852877224,13630.69653,0
1970-01-01 00:59:04,-6141.02799158,1903.1047086889305,1544.121732418,-2769.11635099,2814.5964457754167,2167.8874334718,-11086.45289961,1709.898018448371,1359.9373344992,-30.661611132800004,1315.483986273091,820.300968775112,-180.840251474,961.6366302101056,645.8866718605201,-203.1123664272,626.6889299232319,448.0050897402561,448.821401044,16.220729637390917,13.889277041200025,0.7157705101999996,51.80424775076629,44.318179527188015,-858.741507213,121.94107211250044,102.85222721762004,13482.40332,0
1970-01-01 00:59:06,-8809.92814835,1501.233539699583,1246.862239832,-6768.908540779999,2126.734336419493,1783.393160377601,-7396.855673370001,1369.89411620044,1024.0631883092,28.7306953281,388.91258568363503,293.69895041250004,-23.728624681800003,608.5972625800875,459.692290506652,-138.1603541438,405.7374446807029,308.763422767192,443.844299127,16.83062791044734,14.342043512300007,-123.869912695,46.14164860130682,41.45609623640001,-590.344212001,50.9829412043182,42.26042253911999,13585.38108,0
1970-01-01 00:59:08,-7931.71102501,694.8153689189919,538.0831437906,-8214.93142805,645.9919172961697,511.7216488890001,-7197.93805492,745.750778077875,599.8040348079996,18.177241772100004,381.5487357928012,311.4267548929001,47.3407285661,480.9266965926244,382.999810851344,44.061500882500006,367.9731603775743,275.6235811024,459.274979657,18.0034180494858,15.442665514439998,-146.2668713104,24.76123845585458,20.802954329808006,-706.365617824,59.07633899368304,51.76685364855999,13534.81892,0
1970-01-01 00:59:10,-7288.37482652,386.9179074796605,296.8616572728,-8008.77287553,393.7562740988681,295.799653657,-8090.029474159999,435.2078230074666,331.12625747600003,20.6241781658,123.77211286781092,79.743160161076,10.5617764674,101.58801721564916,71.161238212184,-4.585925007799999,62.29010987823012,47.89087311858,446.341173005,7.637316226332938,6.220212173600009,-144.73545534299998,9.316571828854077,7.13606552018,-759.3076667749999,20.91735629403367,16.248323498000012,13526.85484,0
